iter	Passed	Remaining
0	0	40
1	0	41
2	1	39
3	1	36
4	1	36
5	2	36
6	2	36
7	3	35
8	3	35
9	3	34
10	4	34
11	4	34
12	5	33
13	5	33
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	29
25	10	29
26	10	28
27	11	28
28	11	27
29	11	27
30	12	27
31	13	28
32	14	28
33	14	28
34	15	27
35	15	27
36	15	27
37	16	26
38	16	26
39	17	26
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
