iter	Passed	Remaining
0	47	47731
1	48	24017
2	48	16107
3	48	12149
4	49	9922
5	50	8315
6	50	7188
7	51	6344
8	52	5793
9	53	5272
10	53	4818
11	54	4497
12	54	4173
13	55	3918
14	55	3675
15	56	3462
16	56	3274
17	56	3106
18	58	2995
19	58	2858
20	58	2735
21	58	2622
22	59	2519
23	59	2425
24	59	2338
25	61	2292
26	61	2217
27	61	2147
28	62	2081
29	62	2020
30	62	1963
31	63	1910
32	63	1859
33	63	1812
34	64	1778
35	64	1736
36	65	1696
37	65	1657
38	65	1621
39	66	1599
40	66	1567
41	67	1535
42	67	1505
43	68	1492
44	69	1464
45	69	1437
46	69	1412
47	69	1387
48	71	1379
49	71	1356
50	71	1334
51	72	1313
52	72	1293
53	74	1300
54	74	1282
55	75	1265
56	75	1247
57	76	1235
58	76	1223
59	77	1213
60	77	1197
61	78	1181
62	78	1166
63	78	1152
64	79	1137
65	80	1136
66	80	1122
67	80	1109
68	81	1096
69	81	1083
70	81	1071
71	83	1077
72	84	1067
73	84	1056
74	84	1047
75	85	1036
76	85	1028
77	86	1018
78	86	1008
79	88	1014
80	88	1007
81	89	1001
82	89	989
83	90	988
84	91	987
85	92	978
86	92	970
87	92	961
88	93	952
89	93	944
90	93	936
91	94	928
92	94	923
93	95	918
94	95	911
95	96	904
96	96	897
97	96	890
98	97	883
99	97	876
100	97	869
101	98	862
102	98	856
103	98	849
104	98	843
105	99	837
106	99	831
107	99	825
108	100	819
109	100	813
110	101	812
111	101	807
112	102	802
113	102	796
114	102	791
115	103	785
116	103	780
117	103	775
118	104	770
119	104	765
120	104	760
121	104	755
122	105	750
123	105	746
124	105	741
125	107	743
126	107	739
127	108	736
128	108	734
129	109	730
130	109	726
131	109	721
132	110	717
133	110	713
134	111	714
135	111	709
136	112	706
137	112	702
138	112	698
139	113	694
140	113	690
141	113	686
142	113	682
143	114	679
144	114	675
145	114	672
146	115	671
147	115	667
148	116	664
149	116	661
150	116	657
151	117	654
152	117	650
153	117	647
154	118	644
155	118	641
156	118	638
157	119	635
158	119	632
159	119	629
160	120	625
161	120	622
162	120	619
163	120	616
164	121	614
165	121	611
166	122	609
167	122	606
168	122	603
169	123	600
170	123	598
171	123	595
172	124	592
173	124	590
174	124	587
175	124	585
176	125	582
177	125	580
178	125	577
179	126	577
180	127	574
181	127	572
182	127	569
183	127	567
184	128	566
185	128	563
186	129	561
187	129	559
188	129	557
189	130	554
190	130	552
191	130	550
192	131	548
193	131	546
194	131	543
195	132	541
196	133	542
197	133	540
198	133	538
199	134	536
200	134	534
201	134	532
202	135	530
203	135	528
204	135	526
205	136	524
206	136	522
207	136	520
208	137	518
209	137	516
210	137	514
211	138	513
212	138	511
213	138	509
214	139	507
215	139	505
216	139	503
217	139	502
218	140	500
219	140	498
220	140	496
221	141	495
222	141	493
223	141	491
224	142	489
225	142	488
226	142	486
227	143	484
228	143	483
229	143	481
230	144	479
231	144	478
232	144	476
233	145	474
234	145	473
235	145	472
236	146	471
237	146	469
238	147	468
239	147	466
240	147	465
241	148	463
242	148	462
243	148	460
244	149	459
245	149	457
246	149	456
247	149	454
248	150	453
249	150	451
250	150	450
251	151	448
252	151	447
253	151	446
254	152	445
255	152	444
256	153	443
257	153	441
258	154	440
259	154	439
260	154	438
261	155	437
262	155	436
263	156	435
264	156	434
265	157	433
266	157	432
267	157	431
268	158	429
269	158	428
270	158	427
271	159	427
272	160	426
273	160	425
274	161	424
275	161	423
276	161	422
277	162	421
278	162	420
279	163	419
280	163	417
281	163	416
282	164	415
283	164	414
284	164	413
285	165	412
286	165	411
287	165	410
288	166	409
289	166	408
290	167	406
291	167	406
292	167	404
293	168	403
294	168	402
295	168	401
296	169	400
297	169	399
298	169	398
299	170	397
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	391
306	172	390
307	173	389
308	173	388
309	174	387
310	174	386
311	174	385
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	177	379
318	177	378
319	177	377
320	178	376
321	178	375
322	178	374
323	179	373
324	179	372
325	179	372
326	180	371
327	180	370
328	181	369
329	181	368
330	181	367
331	182	366
332	182	365
333	182	364
334	183	363
335	183	362
336	183	361
337	184	360
338	184	359
339	185	359
340	185	358
341	185	357
342	186	356
343	186	355
344	186	354
345	187	353
346	187	352
347	187	351
348	188	350
349	188	349
350	188	348
351	189	347
352	189	346
353	189	346
354	190	345
355	190	344
356	190	343
357	191	342
358	191	341
359	191	340
360	192	339
361	192	339
362	192	338
363	193	337
364	193	336
365	193	335
366	193	334
367	194	333
368	194	332
369	194	331
370	195	331
371	195	330
372	195	329
373	196	328
374	196	327
375	196	326
376	197	325
377	197	325
378	197	324
379	198	323
380	198	322
381	198	321
382	199	320
383	199	319
384	199	319
385	200	318
386	200	317
387	200	316
388	201	315
389	201	314
390	201	314
391	201	313
392	202	312
393	202	311
394	202	310
395	203	310
396	203	309
397	203	308
398	204	307
399	204	306
400	204	306
401	205	305
402	205	304
403	205	303
404	206	302
405	206	302
406	206	301
407	207	300
408	207	299
409	207	298
410	208	298
411	208	298
412	209	297
413	209	296
414	209	296
415	210	295
416	210	294
417	210	293
418	211	292
419	211	292
420	211	291
421	212	290
422	212	289
423	212	289
424	213	288
425	213	287
426	213	286
427	214	286
428	214	285
429	214	284
430	214	283
431	215	283
432	215	282
433	215	281
434	216	280
435	216	280
436	216	279
437	217	278
438	217	277
439	217	277
440	218	276
441	218	276
442	218	275
443	219	274
444	219	273
445	219	273
446	220	272
447	220	271
448	220	271
449	221	270
450	221	269
451	221	269
452	222	268
453	222	267
454	223	267
455	223	266
456	224	266
457	224	265
458	224	264
459	225	264
460	225	263
461	225	262
462	225	262
463	226	261
464	226	260
465	226	260
466	227	259
467	227	258
468	227	258
469	228	257
470	228	256
471	228	256
472	229	255
473	229	254
474	229	254
475	230	253
476	230	252
477	231	252
478	231	251
479	231	251
480	232	250
481	232	249
482	232	249
483	233	248
484	233	247
485	233	247
486	234	246
487	234	246
488	234	245
489	235	244
490	235	244
491	235	243
492	236	242
493	236	242
494	236	241
495	237	241
496	237	240
497	237	239
498	238	239
499	238	238
500	239	238
501	239	237
502	239	237
503	240	236
504	240	235
505	240	235
506	241	234
507	241	234
508	242	233
509	242	232
510	242	232
511	243	231
512	243	231
513	244	230
514	244	230
515	244	229
516	245	229
517	245	228
518	245	227
519	246	227
520	246	226
521	247	226
522	247	225
523	247	225
524	248	224
